atom_id,query_id,fixture_id,atom_type,subject,predicate,object,source_path,source_blob,start_byte,end_byte,start_line,end_line,span_sha256,critical,required_provenance,review_status
A011,Q3,F-WORKTREE-WP02,ownership,worktree:WP02,owns,tests/mission_runtime/test_create_time_write_target.py,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,1181,1237,38,38,e2d009e7f662862490d05cf79489f52811d50337ee489784419730a3269b1659,yes,P0,approved_two_reviewers_2026-08-18
A012,Q4,F-GATE-PREPLAN,decision,gate-read:plan,sizing_verdict,one mission; two explicit lanes,kitty-specs/gate-read-surface-completion-01KVW9B0/research/priti-preplan.md,009d6b0b4ca4f6fcc3d05c4ea91214ec151e9e2c,348,401,10,10,5376a56fd503847dbf309d4e41b4809e4f01d87a75883434176e677a8b96fd9c,yes,P0,approved_two_reviewers_2026-08-18
A013,Q4,F-GATE-PREPLAN,support,gate-read:lane-a,root_cause,#2107 at mission.py:2203-2224,kitty-specs/gate-read-surface-completion-01KVW9B0/research/priti-preplan.md,009d6b0b4ca4f6fcc3d05c4ea91214ec151e9e2c,594,663,16,16,5cd9869dadb8caa77a7f0e4fee4ae0b8044a22dc3aac602711a64435cc470d99,yes,P0,approved_two_reviewers_2026-08-18
A014,Q4,F-GATE-PREPLAN,countercase,gate-read:split,cost,extra mission overhead for 3-5 tests and one fixture re-pin,kitty-specs/gate-read-surface-completion-01KVW9B0/research/priti-preplan.md,009d6b0b4ca4f6fcc3d05c4ea91214ec151e9e2c,1531,1628,20,20,3168391080707d4bc2530ebae7a584bd27d83961162221683f425fc09e23eb97,yes,P0,approved_two_reviewers_2026-08-18
A015,Q5,F-EXEC-LIFECYCLE,requirement_status,exec:FR-015,status,Draft,kitty-specs/execution-context-unification-01KTPKST/spec.md,3939953cbac1cb281e5096990c6246ba31d8d62a,7314,7860,41,41,bce6f03f69b6e17b91404fa445e52a53aca87f0117dd239d1b5637c0408d341d,yes,P0,approved_two_reviewers_2026-08-18
A016,Q5,F-EXEC-LIFECYCLE,mission_status,exec:mission,accepted_at,2026-06-10T05:45:00.743647+00:00,kitty-specs/execution-context-unification-01KTPKST/meta.json,f33744f93151e2f1b48e3e002b914d1e50b2d1f1,395,444,13,13,11b89d6f46d2af5e4be1c6f2fc1b618b06a1798fcfbf7b819bcf2abdcb724ffb,yes,P0,approved_two_reviewers_2026-08-18
A018,Q6,F-ID-COLLISION,identity,repo:test-suite-friction:FR-001,label,FR-001,kitty-specs/test-suite-friction-remediation-01KXDKBX/spec.md,00000ab01c1180d045ce601588555f0ecad6dc81,6322,6351,55,55,67e523ba69ac6b6b722cb03c2ae37627ea4285c57fd3d4e9c9eba79a855cfc5b,no,P0,approved_two_reviewers_2026-08-18
A019,Q6,F-ID-COLLISION,identity,repo:worktree-owned-root:FR-001,label,FR-001,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,118,126,7,7,375d4152816cb189673f4f8434b6b1642413116dab1727fe248379f8fc3b61cb,no,P0,approved_two_reviewers_2026-08-18
A020,Q3,F-WORKTREE-WP02,ownership,worktree:WP02,owns,tests/agent/test_agent_feature.py,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,1091,1126,36,36,4f8b1de7069d7d7a898858758ff59b4944af3bf3e642c8153449b1dcd72bf82e,yes,P0,approved_two_reviewers_2026-08-18
A021,Q3,F-WORKTREE-WP02,ownership,worktree:WP02,owns,tests/architectural/test_mission_runtime_surface.py,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,1127,1180,37,37,2e3a7b138f65f600b6e7adf6820812803d69f09c07a69ba46d8f1fc9e8eaf407,yes,P0,approved_two_reviewers_2026-08-18
