revision,path,blob_sha,content_sha256,bytes,mission,role,era,mission_type,topology,mission_acceptance,features,selection_reasons
cf0f7e3a7,kitty-specs/read-side-placement-seam-migration-01KYHP67/checklists/requirements.md,9366f5138fdbcfeba58be4e82f1aa1348e810721,007849f10b5b4be018e51bd42480693312f6b670de6a3c43651e4b4a405a5d48,1702,read-side-placement-seam-migration-01KYHP67,other,ulid,software-dev,lanes,accepted,checkbox;cross_file_id;link;non_ascii,syntax:link
cf0f7e3a7,kitty-specs/read-side-seam-primary-primitive-closure-01KYKMMT/quickstart.md,66f4d5a3b41d4cbf93b59cba1af0a66b5f23207f,004a3c919d519d7c85c21bbf4efd01c31d43dc7c764e0107792e9f5a0bb9fcb8,6167,read-side-seam-primary-primitive-closure-01KYKMMT,other,ulid,software-dev,lanes,accepted,cross_file_id;fence;non_ascii;table,topology:lanes
cf0f7e3a7,kitty-specs/refactor-stable-gate-substrate-01KWK3FY/tasks/WP02-untrusted-audit-identity.md,0d159db5814804d843f1d3c9160a5f587b0ee670,009da7c97b4501a51bd36d33b93a18e59bd67ec7ba6a853b11421a879890138f,12770,refactor-stable-gate-substrate-01KWK3FY,wp_prompt,ulid,software-dev,lanes,not_accepted,cross_file_id;fence;frontmatter;non_ascii,syntax:fence
cf0f7e3a7,kitty-specs/release-320-workflow-reliability-01KQKV85/tasks/WP05-sync-finalization-output-hygiene.md,5535c7e2acb3c6886234c837bdf617f80d973a08,973d9b3fa840e8b4d24f1141ca65fc6015b6c0fc01388b10d588c002bd5bc8a1,6976,release-320-workflow-reliability-01KQKV85,wp_prompt,ulid,software-dev,lanes,not_accepted,checkbox;cross_file_id;fence;frontmatter;non_ascii,size:median
cf0f7e3a7,kitty-specs/rename-ceremony-to-status-commit-01KSPN6C/tasks/WP06-regression-guard.md,d45234a7eb53117f0349c8355efcfd188803912a,00bc9f24d8e9f83d99145671d96ab6fec0a8571956d6656b6421587afd97fca8,12555,rename-ceremony-to-status-commit-01KSPN6C,wp_prompt,ulid,software-dev,lanes,not_accepted,checkbox;cross_file_id;fence;frontmatter;link;non_ascii,syntax:non_ascii
cf0f7e3a7,kitty-specs/runtime-state-corpus-cutover-01KXZ0AX/HANDOVER.md,6047c99766ca1e6733a01e1469bce3e904b272de,00be95f050162794e5886b3a60cfa4b9e64698d45e94e0fd10d258f2ac3e384f,4368,runtime-state-corpus-cutover-01KXZ0AX,other,ulid,software-dev,lanes,not_accepted,cross_file_id;non_ascii,syntax:cross_file_id
cf0f7e3a7,kitty-specs/sonar-qa-config-remediation-01KWYCX7/plan.md,057c223079c846cf4e2ef46a6ee61ea488080305,008ad7d99e8afaa6ea4f933e4172f4d1588b2456bcc6637f69f70d40c4338262,7234,sonar-qa-config-remediation-01KWYCX7,plan,ulid,software-dev,lanes,not_accepted,cross_file_id;fence;non_ascii,role:plan
cf0f7e3a7,kitty-specs/stable-320-p0-cli-stabilization-01KQSNGY/mission-review-report.md,b539241020ba47d78a82263b991eed449791f319,33954722ebc42641705c5d1caf4eff420a26dff8dc702d3fbd78ad619dfb3e5a,94,stable-320-p0-cli-stabilization-01KQSNGY,other,ulid,software-dev,lanes,not_accepted,frontmatter;non_ascii,size:small
cf0f7e3a7,kitty-specs/supply-chain-security-checks-layer-01KZBFBS/analysis-report.md,aa9eb24ffdd0c5f379e99d60ccd88b0719752ab3,0042b358e0a19023bc23f9b35716a98dee50ae4cd1732759e84b1c5f5bfc1c9f,4568,supply-chain-security-checks-layer-01KZBFBS,other,ulid,software-dev,lanes,accepted,cross_file_id;frontmatter;non_ascii;table,mission_type:software-dev
cf0f7e3a7,kitty-specs/test-suite-friction-remediation-01KXDKBX/spec.md,00000ab01c1180d045ce601588555f0ecad6dc81,865d347ba6057d96bd6a5e87c2107173e0fd2074c4fb927cfb997226abf471b1,23216,test-suite-friction-remediation-01KXDKBX,spec,ulid,software-dev,lanes,accepted,cross_file_id;link;non_ascii;table,query_fixture:F-ID-COLLISION
cf0f7e3a7,kitty-specs/tooling-stability-guard-coherence-01KTRC04/decisions/DM-01KTRFSF2S8CAPX6YD6QYF3MM6.md,42fcf21d3c95e7a911d89e76a3d32f35a917377a,006573e357f562bd65e49cfe7bdd2320b8e42550ddfd1071425c5b7c858687ba,1498,tooling-stability-guard-coherence-01KTRC04,other,ulid,software-dev,lanes,accepted,non_ascii,mission_acceptance:accepted
cf0f7e3a7,kitty-specs/up-mission-type-seam-01KZY1JB/tasks/WP07-cli-surface-fixes.md,ce9fd6c3234ce6e1a2169a9642598e697657b333,00deeba9828fb2c81c7fcbed37938abc911e7227bd2ff72f7ed92fbb93f00cd8,27436,up-mission-type-seam-01KZY1JB,wp_prompt,ulid,software-dev,coord,not_accepted,cross_file_id;frontmatter;link;non_ascii,topology:coord
cf0f7e3a7,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,bdbdff539354d7bf8e8768509113fce5ee282d1fce3c7106a8c4d739152d6bec,11284,worktree-owned-root-3328-01KZRG01,wp_prompt,ulid,software-dev,lanes_with_coord,accepted,checkbox;cross_file_id;frontmatter;non_ascii,query_fixture:F-WORKTREE-WP02
