evidence_id,timestamp,evidence_kind,source_id,claim,method,confidence,limitation,raw_result,raw_sha256
EV-011,2026-08-18T10:10:00Z,repository,sk-sync,A derived graph containing source chunks would require the hosted body surface's consent retention deletion and history controls.,Pinned sync-contract review,high,No hosted graph design evaluated,source-register.csv,N/A_pinned_git_object_cf0f7e3a7db149f8b73006f9bca8bb97df880704
EV-012,2026-08-18T10:11:00Z,repository,sk-review;sk-acceptance;sk-merge;sk-retrospective,Review acceptance merge and retrospective consumers read filenames frontmatter bodies events and generated matrices under distinct contracts.,Pinned consumer census,high,Out-of-tree ecosystem residual remains,source-register.csv,N/A_pinned_git_object_cf0f7e3a7db149f8b73006f9bca8bb97df880704
EV-013,2026-08-18T10:12:00Z,experiment,emp-results,The frozen population contains 385 missions and 10161 files totaling 95403203 bytes; Markdown coexists with JSON JSONL and YAML authorities.,Deterministic Git-revision census,high,Tracked frozen revision only,docs/research/docling-graph-kitty-specs/data/corpus-census.json,48d7365b06647d696c512d726b9229e2ed300762a8dbb291037ee7e7dc479af7
EV-014,2026-08-18T10:13:00Z,experiment,emp-results,The 7199 Markdown files contain at least 63379 table rows 29544 checkboxes 23517 fences 342 HTML comments 88 wiki links and 168970 requirement-like IDs.,Deterministic syntax census,high,Regex counts are structural indicators not semantic facts,docs/research/docling-graph-kitty-specs/data/corpus-census.json,48d7365b06647d696c512d726b9229e2ed300762a8dbb291037ee7e7dc479af7
EV-015,2026-08-18T10:14:00Z,experiment,emp-results,Zero of 117 Markdown to DoclingDocument to Markdown trials matched source bytes and all repeated exports were stable.,Sealed corpus and fixtures across three repetitions,high,Tests structural canonical replacement only,docs/research/docling-graph-kitty-specs/data/roundtrip/roundtrip-results.json,81665d5671372b847521331692cf87b7c2c5a5328b0d00b300625aee0926c711
EV-016,2026-08-18T10:15:00Z,experiment,emp-results,Both golden fixtures failed declared construct preservation on every repetition.,Sealed construct oracles,high,A loss proves non-equivalence while a pass would not prove semantic fidelity,docs/research/docling-graph-kitty-specs/data/roundtrip/roundtrip-results.json,81665d5671372b847521331692cf87b7c2c5a5328b0d00b300625aee0926c711
EV-017,2026-08-18T10:16:00Z,experiment,emp-results,Ten of 18 Markdown-applicable gold spans failed while eight passed; two JSON-source gold atoms were not applicable.,Sealed exact-span oracles,high,Does not test inferred graph correctness,docs/research/docling-graph-kitty-specs/data/roundtrip/roundtrip-results.json,81665d5671372b847521331692cf87b7c2c5a5328b0d00b300625aee0926c711
EV-018,2026-08-18T10:17:00Z,experiment,emp-results,Compact DoclingDocument JSON occupied 5310769 bytes for 571855 source bytes or 9.2869x aggregate.,Post-seal supplementary storage measurement,high,Observational only and not a preregistered threshold,docs/research/docling-graph-kitty-specs/data/document-storage.json,302c506196dbc4b92b73c23b523b53291656f90896d3747c0c8691fe33ce9644
EV-019,2026-08-18T10:18:00Z,environment_observation,emp-results,A macOS arm64 Python 3.11 environment installed 122 distributions and grew 1205293056 bytes.,Sealed bounded operations probe,high,Warmed uv cache and no application integration,docs/research/docling-graph-kitty-specs/data/operations/execution-manifest.json,9eb2307f4a3a4ae12b80d6169ddd43ec9e79e37350858c6f4056f9044ee394fb
EV-020,2026-08-18T10:19:00Z,environment_observation,emp-results,First import took 54.35 seconds and 743227392 bytes peak RSS; four later imports took 6.88-7.14 seconds and about 696 MB median peak RSS.,Five-trial bounded operations probe,high,macOS arm64 only and no Spec Kitty integration latency,docs/research/docling-graph-kitty-specs/data/operations/execution-manifest.json,9eb2307f4a3a4ae12b80d6169ddd43ec9e79e37350858c6f4056f9044ee394fb
EV-021,2026-08-18T10:20:00Z,environment_observation,emp-results,The dated pip-audit snapshot found zero known vulnerabilities and inventory recorded 121 license rows.,Pinned-environment audit,medium,Point-in-time snapshot not a future safety claim,docs/research/docling-graph-kitty-specs/data/operations/execution-manifest.json,9eb2307f4a3a4ae12b80d6169ddd43ec9e79e37350858c6f4056f9044ee394fb
EV-022,2026-08-18T10:21:00Z,experiment,emp-results,Strict filesystem confinement blocked dependency startup at /dev/null before conversion.,Three-mode sealed privacy launch probe,high,Only containment compatibility failed; egress residue cleanup exception and SIGTERM behavior remain UNKNOWN,docs/research/docling-graph-kitty-specs/data/privacy/execution-manifest.json,ff49e8d966b8ca7adeb0f401c993b018ff62f649b783706e35fb1d470b9988b5
EV-023,2026-08-18T10:22:00Z,environment_observation,emp-results,No approved pinned local generative backend was available; installed Ollama model was embedding-only.,Local backend inventory without download or egress,high,Semantic graph quality provenance privacy and utility remain UNKNOWN,docs/research/docling-graph-kitty-specs/data/semantic/execution-manifest.json,d5214da883c999a6147c0e469c6f14c0a8c7132583805d647722fc7a2f55f6f0
EV-024,2026-08-18T10:23:00Z,descriptive_annotation,emp-results,B0 and B1 files replay sealed gold rows and are not baseline performance correctness automation timing or effort evidence.,Static implementation audit,high,Excluded from candidate scoring,kitty-specs/docling-graph-kitty-specs-01M0A0FG/research/baseline-observations.yaml,N/A_generated_annotation
EV-025,2026-08-18T10:24:00Z,methodology_limitation,emp-results,B2 and C5a utility remain UNKNOWN because the sealed v1 API withholds identifiers needed for its exact-output contract and cannot support a fair blinded implementation.,Static candidate-contract audit,high,A separately preregistered generic benchmark is required,kitty-specs/docling-graph-kitty-specs-01M0A0FG/research/genericity-protocol.yaml,N/A_sealed_methodology
EV-026,2026-08-18T10:25:00Z,inference,sk-dossier-code;sk-events;emp-results,A native deterministic cross-artifact projection is the lowest-authority-disruption hypothesis because it can preserve current authorities while targeting Q1-Q6 traversal.,Triangulation of existing authority seams and candidate lattice,medium,Not evidence-ranked; no demand utility lifecycle or production evidence; separate research only,kitty-specs/docling-graph-kitty-specs-01M0A0FG/research/contradiction-register.csv,N/A_synthesis_input
EV-027,2026-08-18T10:26:00Z,integrity_record,emp-results,Machine-specific environment outputs were normalized without semantic alteration and retain pre-normalization hashes; corpus-derived exports were excluded from normalization.,Deterministic publication transform,high,Original environment bytes are represented by hashes rather than committed copies,docs/research/docling-graph-kitty-specs/data/redaction-manifest.json,c6dbecee4f453eaa02b38f96f73a270e64c8670c9ee43efb198ea20efa578523
EV-028,2026-08-18T10:27:00Z,methodology_constraint,sk-charter,Doctrine Reference Graph namespace reuse and hidden mission-state override are forbidden authority postures.,Sealed preregistered authority gate,high,Normative scope rule rather than empirical result,kitty-specs/docling-graph-kitty-specs-01M0A0FG/plan.md,3642870d67c18731bd52cab06228f9d2d7b399b9d4110f5e7b06e3b2a36b2f04
